1715011147.576730435,-470us,10.10.1.2,5566,10.10.1.4,52056
1715011147.576394405,-470us,10.10.1.4,52056,10.10.1.2,5566
1715011147.576041535,-470us,10.10.1.4,52056,10.10.1.2,5566
